item_id,category,severity,path,hit_type,owner_organ,blocks_optimization_phase,blocks_next_micro_pilot,evidence
LBL-0001,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ADMINISTRATUM/REPORTS/TASK-NEWGEN-LEGACY-RECEIPT-PRODUCER-INVENTORY-AND-MIGRATION-PREFLIGHT-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,False,False,"count=19; signatures=CYRILLIC_RE; lines=3,5,7,8,10"
LBL-0002,LEGACY_TO_REMEDIATE,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ADMINISTRATUM/REPORTS/TASK-NEWGEN-LEGACY-RECEIPT-PRODUCER-INVENTORY-AND-MIGRATION-PREFLIGHT-PC-V0_1/STAGE_0_RECEIPT_SANITATION_CLOSEOUT_REPORT.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,True,False,"count=16; signatures=CYRILLIC_RE; lines=7,21,22,23,24"
LBL-0003,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ASTRONOMICON/REPORTS/TASK-NEWGEN-STAGE3-ASTRONOMICON-BOOTSTRAP-HARDENING-UTF8-PREFLIGHT-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ASTRONOMICON,False,False,"count=15; signatures=CYRILLIC_RE; lines=1,3,4,5,11"
LBL-0004,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/INQUISITION/REPORTS/TASK-NEWGEN-LANGUAGE-AUTHORITY-AND-MOJIBAKE-FILTER-SPINOFF-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,INQUISITION,False,False,"count=15; signatures=CYRILLIC_RE; lines=9,10,11,12,14"
LBL-0005,LEGACY_TO_REMEDIATE,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ADMINISTRATUM/REPORTS/TASK-NEWGEN-LEGACY-RECEIPT-PRODUCER-INVENTORY-AND-MIGRATION-PREFLIGHT-PC-V0_1/EIGHT_ORGAN_MOBILIZATION_ASTRONOMICON_ENTRY_IDE_RELEASE_PLAN.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,True,False,"count=13; signatures=CYRILLIC_RE; lines=1,5,7,9,13"
LBL-0006,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ASTRONOMICON/REPORTS/TASK-NEWGEN-EIGHT-ORGAN-MOBILIZATION-AND-ASTRONOMICON-TASK-ENTRY-FORM-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ASTRONOMICON,False,False,"count=13; signatures=CYRILLIC_RE; lines=1,3,5,6,7"
LBL-0007,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ADMINISTRATUM/REPORTS/TASK-NEWGEN-COMBINED-REVIEW-ADJUDICATION-FILL-AND-LOGOS-PIPELINE-PLANNER-VM3-V0_1/OWNER_QUESTIONS_SIMPLE_RU.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,False,False,"count=12; signatures=CYRILLIC_RE; lines=3,4,5,7,8"
LBL-0008,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ADMINISTRATUM/REPORTS/TASK-NEWGEN-LEGACY-RECEIPT-P0-PRODUCER-REMEDIATION-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,False,False,"count=12; signatures=CYRILLIC_RE; lines=4,5,6,9,10"
LBL-0009,LEGACY_TO_REMEDIATE,WARN,IMPERIUM_NEW_GENERATION/ADMINISTRATUM/REPORTS/TASK-NEWGEN-FIVE-ORGAN-ALIGNMENT-CHECK-VM3-V0_1/five_organ_inventory.json,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,True,False,"count=11; signatures=CYRILLIC_RE; lines=55,62,110,117,168"
LBL-0010,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/MATRIX_SPINE/REPORTS/TASK-NEWGEN-MECHANICUS-MATRIX-SPINE-VALIDATOR-SUITE-VM3-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,DOCTRINARIUM,False,False,"count=11; signatures=CYRILLIC_RE; lines=1,2,3,4,5"
LBL-0011,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ADMINISTRATUM/REPORTS/TASK-NEWGEN-MATRIX-SPINE-EXTERNAL-FINALIZATION-RECEIPT-AND-CAP-CLOSURE-SEMANTICS-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,False,False,"count=11; signatures=CYRILLIC_RE; lines=3,5,7,8,9"
LBL-0012,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/MECHANICUS/REPORTS/TASK-NEWGEN-MATRIX-SPINE-RECEIPT-HEAD-CONSISTENCY-AND-INDEPENDENT-REPLAY-GATE-VM3-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,MECHANICUS,False,False,"count=11; signatures=CYRILLIC_RE; lines=3,4,5,6,11"
LBL-0013,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ASTRONOMICON/REPORTS/TASK-NEWGEN-ASTRONOMICON-RESOLVER-HARDENING-REAL-USE-PILOT-PREFLIGHT-MATURITY-MATRIX-SEED-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ASTRONOMICON,False,False,"count=10; signatures=CYRILLIC_RE; lines=1,3,4,5,8"
LBL-0014,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ASTRONOMICON/REPORTS/TASK-NEWGEN-ASTRONOMICON-TASKPACK-INTAKE-REGISTRY-RESOLVER-TUI-FORM-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ASTRONOMICON,False,False,"count=10; signatures=CYRILLIC_RE; lines=1,3,4,5,8"
LBL-0015,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/MECHANICUS/REPORTS/TASK-NEWGEN-MATRIX-SPINE-INDEPENDENT-REPLAY-AND-HEAD-CHAIN-RECONCILIATION-VM3-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,MECHANICUS,False,False,"count=10; signatures=CYRILLIC_RE; lines=3,4,5,7,8"
LBL-0016,LEGACY_TO_REMEDIATE,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ADMINISTRATUM/REPORTS/TASK-NEWGEN-COMBINED-REVIEW-ADJUDICATION-FILL-AND-LOGOS-PIPELINE-PLANNER-VM3-V0_1/LOGOS_PIPELINE_PLANNER_CANDIDATE.json,CYRILLIC_IN_CANONICAL_ARTIFACT,ADMINISTRATUM,True,False,"count=9; signatures=CYRILLIC_RE; lines=56,57,58,61,62"
LBL-0017,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ASTRONOMICON/REPORTS/TASK-NEWGEN-STAGE3-FIRST-REAL-USE-GHOST-EVOLVE-MICROPILOT-PC-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,ASTRONOMICON,False,False,"count=9; signatures=CYRILLIC_RE; lines=1,3,4,5,11"
LBL-0018,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ASTRONOMICON/TASK_INBOX/REGISTERED/TASK-NEWGEN-ASTRONOMICON-RESOLVER-HARDENING-REAL-USE-PILOT-PREFLIGHT-MATURITY-MATRIX-SEED-PC-V0_1/EXTRACTED/TASKPACK_NEWGEN_ASTRONOMICON_RESOLVER_HARDENING_REAL_USE_PILOT_PREFLIGHT_MATURITY_MATRIX_SEED_PC_V0_1/REFERENCE/WHY_THIS_TASK_MATTERS_RU.md,TASKPACK_ROOT_CYRILLIC,ASTRONOMICON,False,False,"count=9; signatures=CYRILLIC_RE; lines=1,3,5,7,8"
LBL-0019,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/ASTRONOMICON/TASK_INBOX/REGISTERED/TASK-NEWGEN-STAGE3-FIRST-REAL-USE-GHOST-EVOLVE-MICROPILOT-PC-V0_1/EXTRACTED/REFERENCE/WHY_THIS_TASK_MATTERS_RU.md,TASKPACK_ROOT_CYRILLIC,ASTRONOMICON,False,False,"count=9; signatures=CYRILLIC_RE; lines=1,3,5,6,9"
LBL-0020,ALLOWED_RUNTIME_OWNER_OUTPUT,WARN,IMPERIUM_NEW_GENERATION/ORGANS/MECHANICUS/REPORTS/TASK-NEWGEN-MATRIX-SPINE-HEAD-TAXONOMY-AND-COMBINED-REVIEW-ADJUDICATION-VM3-V0_1/final_owner_summary_ru.md,CYRILLIC_IN_CANONICAL_ARTIFACT,MECHANICUS,False,False,"count=9; signatures=CYRILLIC_RE; lines=3,5,8,10,16"
