capability_id,category,current_status,what_is_it_ru,why_needed_ru,agent_usage_ru,plus_ru,minus_risk_ru,install_needed,platform_profile_pc_windows,platform_profile_ubuntu_vm3,platform_profile_cross_platform,platform_profile_unknown_notes,install_command_candidate,detect_command,validation_command,stress_test_candidate,receipt_required,recommendation,owner_decision,approved_for_install_wave_001,notes_for_owner_ru
ALGORITHMS_CAPABILITY_PROMOTION_RULES,ALGORITHMS,CANDIDATE,capability promotion rules: Mass intake candidate for capability promotion rules in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,"python -c ""from pathlib import Path; p=Path(r'IMPERIUM_NEW_GENERATION/MECHANICUS/ARSENAL/CATEGORIES/ALGORITHMS/ALGORITHMS_CAPABILITY_PROMOTION_RULES/capability_card.json'); print(p.exists()); raise SystemExit(0 if p.exists() else 2)""",validate:algorithms-capability-promotion-rules,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-capability-promotion-rules_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
ALGORITHMS_DIFF_CLASSIFIER,ALGORITHMS,CANDIDATE,diff classifier: Mass intake candidate for diff classifier in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,"python -c ""from pathlib import Path; p=Path(r'IMPERIUM_NEW_GENERATION/MECHANICUS/ARSENAL/CATEGORIES/ALGORITHMS/ALGORITHMS_DIFF_CLASSIFIER/capability_card.json'); print(p.exists()); raise SystemExit(0 if p.exists() else 2)""",validate:algorithms-diff-classifier,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-diff-classifier_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
ALGORITHMS_DIRTY_TREE_CLASSIFIER,ALGORITHMS,CANDIDATE,dirty tree classifier: Mass intake candidate for dirty tree classifier in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,"python -c ""from pathlib import Path; p=Path(r'IMPERIUM_NEW_GENERATION/MECHANICUS/ARSENAL/CATEGORIES/ALGORITHMS/ALGORITHMS_DIRTY_TREE_CLASSIFIER/capability_card.json'); print(p.exists()); raise SystemExit(0 if p.exists() else 2)""",validate:algorithms-dirty-tree-classifier,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-dirty-tree-classifier_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
ALGORITHMS_EVIDENCE_RANKING,ALGORITHMS,CANDIDATE,evidence ranking: Mass intake candidate for evidence ranking in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,"python -c ""from pathlib import Path; p=Path(r'IMPERIUM_NEW_GENERATION/MECHANICUS/ARSENAL/CATEGORIES/ALGORITHMS/ALGORITHMS_EVIDENCE_RANKING/capability_card.json'); print(p.exists()); raise SystemExit(0 if p.exists() else 2)""",validate:algorithms-evidence-ranking,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-evidence-ranking_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
ALGORITHMS_FAKE_GREEN_DETECTOR,ALGORITHMS,CANDIDATE,fake green detector: Mass intake candidate for fake green detector in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,"python -c ""from pathlib import Path; p=Path(r'IMPERIUM_NEW_GENERATION/MECHANICUS/ARSENAL/CATEGORIES/ALGORITHMS/ALGORITHMS_FAKE_GREEN_DETECTOR/capability_card.json'); print(p.exists()); raise SystemExit(0 if p.exists() else 2)""",validate:algorithms-fake-green-detector,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-fake-green-detector_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
ALGORITHMS_OWNER_QUESTION_CLASSIFIER,ALGORITHMS,CANDIDATE,owner question classifier: Mass intake candidate for owner question classifier in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,"python -c ""from pathlib import Path; p=Path(r'IMPERIUM_NEW_GENERATION/MECHANICUS/ARSENAL/CATEGORIES/ALGORITHMS/ALGORITHMS_OWNER_QUESTION_CLASSIFIER/capability_card.json'); print(p.exists()); raise SystemExit(0 if p.exists() else 2)""",validate:algorithms-owner-question-classifier,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-owner-question-classifier_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
ALGORITHMS_RUNTIME_JUNK_CLASSIFIER,ALGORITHMS,CANDIDATE,runtime junk classifier: Mass intake candidate for runtime junk classifier in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,python IMPERIUM_NEW_GENERATION/MECHANICUS/TOOLS/newgen_repo_hygiene_check_v0_1.py --help,validate:algorithms-runtime-junk-classifier,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-runtime-junk-classifier_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
ALGORITHMS_TASK_SCOPE_SPLITTER,ALGORITHMS,CANDIDATE,task scope splitter: Mass intake candidate for task scope splitter in ALGORITHMS.,Mass intake seed for ALGORITHMS.,"Можно включать в scope как candidate context, но не активировать без SANDBOX admission. Локальный агент может планировать/документировать, но не исполнять.",Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,Candidate-only until validation receipts and trust checks exist. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope,False,READY_FOR_SCOPE_USAGE_WITH_RECEIPT_DISCIPLINE.,NOT_TESTED_IN_THIS_TASK; VM3 profile intentionally not touched.,LIKELY_CROSS_PLATFORM_CONTEXT,No installs executed. Detection and planning only.,,"python -c ""from pathlib import Path; p=Path(r'IMPERIUM_NEW_GENERATION/MECHANICUS/ARSENAL/CATEGORIES/ALGORITHMS/ALGORITHMS_TASK_SCOPE_SPLITTER/capability_card.json'); print(p.exists()); raise SystemExit(0 if p.exists() else 2)""",validate:algorithms-task-scope-splitter,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",algorithms-task-scope-splitter_validation_receipt.json,sandbox,pending,False,source_type=algorithm; install_gate=GATE-U09-NO-FAKE-GREEN; reserved=false.
CLOUD_LLM_ADAPTERS_CLOUD_MODEL_ROUTER_RESERVED,CLOUD_LLM_ADAPTERS,CANDIDATE,cloud model router reserved: Mass intake candidate for cloud model router reserved in CLOUD_LLM_ADAPTERS.,Mass intake seed for CLOUD_LLM_ADAPTERS.,Исполнение запрещено до решения Owner и отдельного policy/gatepack. Только описание/планирование; execution запрещен.,Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,RESERVED/CANDIDATE_ONLY in this task; no deep integration permitted. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DEFERRED_POLICY_LANE; no activation in this task.,FORBIDDEN_IN_THIS_TASK; VM3/Ubuntu untouched by contract.,NOT_EVALUATED_FOR_THIS_TASK,Reserved lane requires separate Owner gate before any runtime action.,TO_DEFINE_BY_OWNER_INSTALL_GATE,TO_DEFINE_DETECT_COMMAND,validate:cloud-llm-adapters-cloud-model-router-reserved,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cloud-llm-adapters-cloud-model-router-reserved_validation_receipt.json,defer,pending,False,source_type=adapter; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=true.
CLOUD_LLM_ADAPTERS_CLOUD_RECEIPT_MODEL_CANDIDATE,CLOUD_LLM_ADAPTERS,CANDIDATE,cloud receipt model candidate: Mass intake candidate for cloud receipt model candidate in CLOUD_LLM_ADAPTERS.,Mass intake seed for CLOUD_LLM_ADAPTERS.,Исполнение запрещено до решения Owner и отдельного policy/gatepack. Только описание/планирование; execution запрещен.,Повышает повторяемость задач. Разрешенные use-case: Capability cataloging and validation planning; Scoped candidate execution after explicit admission gate. Статус сейчас: CANDIDATE.,RESERVED/CANDIDATE_ONLY in this task; no deep integration permitted. Forbidden: Claiming CANON without validation receipt evidence; Using capability outside bounded task scope Требует owner gate на установку.,True,DEFERRED_POLICY_LANE; no activation in this task.,FORBIDDEN_IN_THIS_TASK; VM3/Ubuntu untouched by contract.,NOT_EVALUATED_FOR_THIS_TASK,Reserved lane requires separate Owner gate before any runtime action.,TO_DEFINE_BY_OWNER_INSTALL_GATE,TO_DEFINE_DETECT_COMMAND,validate:cloud-llm-adapters-cloud-receipt-model-candidate,"Manual stress candidate: run detect_command and validation_command 3x, then compare receipt names and verdict stability.",cloud-llm-adapters-cloud-receipt-model-candidate_validation_receipt.json,defer,pending,False,source_type=adapter; install_gate=GATE-ARSENAL-EXTERNAL-INSTALL-ADMISSION; reserved=true.
