pattern_id,source_systems,imperium_translation,adopt,usefulness,risk
PATTERN-MCP-CLIENT-SERVER-TOOL-BOUNDARY,Model Context Protocol,SKILL_BUNDLE_PROTOCOL + TOOL_STATE_PROTOCOL,ADAPT_AS_IMPERIUM_NATIVE,VERY_HIGH,MEDIUM
PATTERN-LANGGRAPH-CHECKPOINTED-ROUTES,LangGraph,ROUTE_CHECKPOINT_PROTOCOL,ADAPT_AS_IMPERIUM_NATIVE,VERY_HIGH,LOW
PATTERN-CLAUDE-SUBAGENT-MD-FRONTMATTER,Claude Code subagents,ORGAN_AGENT_PROTOCOL,ADAPT_AS_IMPERIUM_NATIVE,HIGH,LOW
PATTERN-CLAUDE-HOOKED-AGENT-LIFECYCLE,Claude Code hooks,AGENT_EVENT_LEDGER + RECEIPT_CONTRACT,ADAPT_AS_IMPERIUM_NATIVE,HIGH,MEDIUM
PATTERN-SWE-ACI-ACTION-INTERFACE,SWE-agent,IMPERIUM_AGENT_COMPUTER_INTERFACE,ADAPT_AS_IMPERIUM_NATIVE,VERY_HIGH,MEDIUM
PATTERN-SWE-TRAJECTORY-INSPECTOR,SWE-agent,ROUTE_SESSION_TRAJECTORY + SANCTUM_TRACE_VIEW,ADAPT_AS_IMPERIUM_NATIVE,HIGH,LOW
PATTERN-OPENHANDS-SANDBOXED-END-TO-END-WORKSPACE,OpenHands,WORKSPACE_PERMISSION_BOUNDARY + EXECUTION_SANDBOX_PROTOCOL,ADAPT_SELECTIVELY,HIGH,HIGH
PATTERN-METAGPT-SOP-TEAM-PIPELINE,MetaGPT,ORGAN_SOP_PIPELINE,ADAPT_AS_IMPERIUM_NATIVE,HIGH,MEDIUM
PATTERN-CREWAI-FLOW-MANAGER-CREW-INTELLIGENCE,CrewAI,SANCTUM_ROUTE_MANAGER + CONTROLLED_ORGAN_GROUPS,ADAPT_AS_IMPERIUM_NATIVE,HIGH,MEDIUM
PATTERN-AUTOGEN-TYPED-ASYNC-AGENT-NETWORK,AutoGen,ORGAN_EVENT_BUS + TYPED_MESSAGE_PROTOCOL,ADAPT_SELECTIVELY,HIGH,MEDIUM
PATTERN-AUTOGEN-AGENT-AS-TOOL-CONCURRENCY-LIMIT,AutoGen,AGENT_AS_TOOL_ADMISSION + SIDE_EFFECT_LOCK,ADAPT_AS_IMPERIUM_NATIVE,VERY_HIGH,LOW
PATTERN-CLI-VISUAL-COMFORT-STATUS-FIRST,Owner requirement; Claude Code subagent color identity as weak reference,CLI_VISUAL_COMFORT_CONTRACT,ADAPT_AS_IMPERIUM_NATIVE,HIGH,LOW
